to speak,sprechen
to give,geben
to help,helfen
to eat,essen
to forget,vergessen
to meet,(sich) treffen
to throw,werfen
to advertise,werben
to die,sterben
to see,sehen
to recommend,empfehlen
to read,lesen
to carry,tragen
to catch,fangen
to begin,anfangen
to run/walk,laufen
to sleep,schlafen
to suggest,vorschlagen
to drive,fahren
to wash,waschen
to bake,backen
to fall,fallen
to guess/advise,raten
to consult,beraten
to invite,einladen
to hold,halten
to let,lassen
to leave,verlassen
